version,num_classes,DIT_mean,NOC_mean,WMC_mean,CBO_mean,RFC_mean,LCOM_mean,NOM_mean,NOA_mean,MPC_mean,DAC_mean,DIT_max,NOC_max,WMC_max,CBO_max,RFC_max,LCOM_max,NOM_max,NOA_max,MPC_max,DAC_max
0.9.0,238,0.6176,0.7563,10.3613,2.3487,11.2353,13.7563,5.1555,2.2857,8.6681,0.3739,4,16,73,11,63,417,31,13,67,9
0.9.2,267,0.6704,0.7603,11.3633,2.3633,11.5955,13.5206,5.2397,2.3221,9.3109,0.4045,4,16,81,11,67,478,33,24,68,6
1.0.0,289,0.6401,0.7509,11.4291,2.474,11.9239,12.8235,5.1488,2.3979,9.5675,0.4533,4,16,81,13,68,508,34,24,68,4
1.0.1,312,0.5897,0.7244,11.7724,2.5673,12.25,11.8269,5.1795,2.4423,10.0321,0.4647,4,16,81,13,67,449,32,24,68,4
1.1.0,349,0.5759,0.7794,13.0888,2.8739,14.1605,24.6991,5.8138,2.533,12.0831,0.4613,4,25,117,16,127,3315,83,24,117,6
1.2.0,373,0.3861,0.6354,15.4638,2.7855,16.0777,30.7989,6.3807,2.7158,15.4316,0.5416,3,25,381,21,152,4278,95,24,402,6
1.3.0,433,0.3441,0.5982,16.2263,2.8568,16.7136,28.4711,6.2841,3.0046,16.2494,0.6536,3,27,381,21,150,4278,94,24,401,8
1.3.1,466,0.3519,0.603,16.2725,2.9099,17.0386,27.7661,6.2554,3.0579,16.8155,0.6524,3,27,381,21,150,4278,94,24,401,10
1.5.1,600,0.3217,0.565,15.7767,3.0183,17.1383,30.21,6.32,3.06,16.77,0.6917,3,28,381,21,151,4371,95,24,403,10
1.5.2,601,0.3195,0.5624,15.7604,3.0233,17.1265,30.2213,6.2928,3.0566,16.782,0.6938,3,28,381,21,149,4371,95,24,401,10
1.5.3,618,0.3204,0.568,15.7848,3.0324,17.2508,31.2379,6.3236,3.021,16.8511,0.7006,3,28,381,21,149,4371,95,24,401,10
