version,class,DIT,NOC,WMC,CBO,RFC,LCOM,NOM,NOA,MPC,DAC,CIS,DAM,MFA,NOP,MOA,CAM,DCC,kind,is_abstract
0.9.0,DirectedGraph,1,11,4,1,4,6,4,0,0,0,4,1.0,0.84,4,0,1.0,1,interface,1
0.9.0,EdgeFactory,0,1,1,0,1,0,1,0,0,0,1,1.0,0.0,1,0,1.0,0,interface,1
0.9.0,Graph,0,7,21,0,21,210,21,0,0,0,21,1.0,0.0,21,0,0.3016,0,interface,1
0.9.0,GraphHelper,1,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0,0,0.0,1,class,1
0.9.0,GraphMapping,0,2,2,0,2,1,2,0,0,0,2,1.0,0.0,2,0,0.6667,0,interface,1
0.9.0,GraphPath,0,2,5,0,5,10,5,0,0,0,5,1.0,0.0,5,0,0.0,0,interface,1
0.9.0,Graphs,0,1,28,5,35,105,15,0,46,0,15,1.0,0.0,0,0,0.2857,5,class,1
0.9.0,ListenableGraph,1,1,4,3,4,6,4,0,0,0,4,1.0,0.84,4,0,0.5,3,interface,1
0.9.0,UndirectedGraph,1,9,1,1,1,0,1,0,0,0,1,1.0,0.9545,1,0,1.0,1,interface,1
0.9.0,VertexFactory,0,1,1,0,1,0,1,0,0,0,1,1.0,0.0,1,0,0.0,0,interface,1
0.9.0,WeightedGraph,1,12,1,1,1,0,1,1,0,0,1,0.0,0.9545,1,0,1.0,1,interface,1
0.9.0,AbstractPathElement,0,2,9,2,15,10,8,4,7,0,5,1.0,0.0,5,0,0.0,2,class,1
0.9.0,AbstractPathElementList,0,1,13,2,12,1,6,4,7,1,3,1.0,0.0,3,1,0.3333,2,class,1
0.9.0,BellmanFordIterator,0,0,34,3,49,97,19,8,47,1,4,1.0,0.0,12,1,0.2037,3,class,0
0.9.0,BellmanFordPathElement,1,0,6,2,7,0,5,2,2,0,1,1.0,0.6154,2,0,0.5,2,class,0
0.9.0,BellmanFordShortestPath,0,0,15,3,20,0,8,7,15,2,6,1.0,0.0,2,2,0.5,3,class,0
0.9.0,BiconnectivityInspector,0,0,9,2,16,0,5,1,16,1,5,1.0,0.0,4,1,0.25,2,class,0
0.9.0,BlockCutpointGraph,3,0,24,8,37,6,9,9,51,2,4,1.0,0.8302,3,2,0.5,8,class,0
0.9.0,BCGEdge,2,0,3,1,3,1,3,3,0,0,3,1.0,0.5714,2,0,0.0,1,class,0
0.9.0,VertexComponentForbiddenFunction,0,0,4,1,4,1,3,1,1,0,3,1.0,0.0,2,0,0.5,1,class,0
0.9.0,BronKerboschCliqueFinder,0,0,21,1,15,4,5,2,14,1,3,1.0,0.0,2,1,0.5,1,class,0
0.9.0,ChromaticNumber,0,0,7,3,16,1,2,0,15,0,2,1.0,0.0,0,0,1.0,3,class,1
0.9.0,ConnectivityInspector,0,0,17,9,24,41,12,3,21,1,10,0.3333,0.0,8,1,0.2,9,class,0
0.9.0,MyTraversalListener,1,0,3,3,6,0,3,1,4,0,3,1.0,0.625,3,0,0.5,3,class,0
0.9.0,CycleDetector,0,0,12,3,15,10,6,1,12,1,5,0.0,0.0,4,1,0.4,3,class,0
0.9.0,CycleDetectedException,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0,0,0.0,0,class,0
