version,Reusability,Flexibility,Understandability,Functionality,Extendibility,Effectiveness
0.9.0,1.0,1.0,-0.99,1.0,1.0,1.0
0.9.2,1.0465,1.0253,-1.0754,1.0403,1.0782,1.0477
1.0.0,1.0499,1.0701,-1.0742,1.0679,0.9953,1.0516
1.0.1,1.0937,1.076,-1.0911,1.1359,0.8878,1.0227
1.1.0,1.1992,1.0942,-1.274,1.2367,0.8648,1.042
1.2.0,1.2924,1.2452,-1.2663,1.366,0.634,0.9814
1.3.0,1.3761,1.3728,-1.3417,1.4188,0.5449,1.0103
1.3.1,1.4261,1.3558,-1.3955,1.4597,0.5423,1.01
1.5.1,1.7026,1.3855,-1.5691,1.6828,0.4638,1.0081
1.5.2,1.7007,1.3866,-1.5674,1.6814,0.4568,1.0072
1.5.3,1.7392,1.4017,-1.5947,1.7266,0.4617,1.0145
