version,Reusability,Flexibility,Understandability,Functionality,Extendibility,Effectiveness
0.9.0,120.4746,1.4611,-81.8694,61.6914,0.8944,1.0821
0.9.2,134.963,1.4303,-91.4705,68.9296,0.8851,1.0863
1.0.0,145.7721,1.3939,-98.6953,74.5626,0.7737,1.0751
1.0.1,157.2606,1.3783,-106.3094,81.1687,0.6921,1.0634
1.1.0,175.9984,1.4685,-118.9391,90.1788,0.6966,1.1297
1.2.0,188.164,1.6541,-127.046,98.218,0.7401,1.1421
1.3.0,218.0553,1.6486,-146.805,112.0192,0.6347,1.1353
1.3.1,234.4796,1.6123,-157.6965,119.9035,0.5952,1.1271
1.5.1,301.4523,1.5703,-201.9385,152.8887,0.487,1.1127
1.5.2,301.939,1.565,-202.2567,153.101,0.4774,1.1105
1.5.3,310.4459,1.5861,-207.8903,157.7334,0.4923,1.1205
